Age,Education,Employment,Set_Financial_Goals,Online_Banking_Usage,Physical_Bank_Visits,Comfort_with_Tech,App_Usage_Weekly,Use_Budgeting_Tools,Satisfaction_Financial_Management,Interest_Personalized_Insights_Recommendations,Interest_Budget_Automation,Data_Security_Concerns,AI_Concerns,Interest_AI_Financial_Management
25-34,College,Employed,Yes,Yes,Never or rarely,5,Daily (7+ times per week),Yes,4,Yes,Yes,Yes,Yes,Yes
65+,Some college,Retired,Yes,Yes,Not Often,3,A few times a week (3-6 times per week),Yes,5,No,Yes,No,No,Yes
65+,College,Retired,Yes,No,Not Often,2,Never,No,5,No,No,Yes,Yes,No
25-34,College,Self-employed,No,Yes,Not Often,5,A few times a week (3-6 times per week),No,3,Maybe,Maybe,Yes,Yes,Maybe
25-34,High school,Employed,Yes,Yes,Never or rarely,5,Less than once a week,No,3,Maybe,Yes,No,No,Maybe
50-64,College,Employed,Yes,Yes,Not Often,5,Daily (7+ times per week),Yes,4,Maybe,Yes,Maybe,Maybe,Yes
25-34,High school,Employed,No,No,Frequently,3,Once or twice a week,No,3,Maybe,Yes,Yes,Yes,Maybe
65+,College,Employed,Yes,Yes,Not Often,5,A few times a week (3-6 times per week),No,4,Maybe,Maybe,Maybe,No,Maybe
18-24,Some college,Student,No,Yes,Never or rarely,5,Less than once a week,No,3,Maybe,Maybe,Yes,Maybe,Yes
25-34,College,Employed,Yes,Yes,Not Often,5,Daily (7+ times per week),Yes,4,No,No,Yes,No,Yes
25-34,Other/Prefer not to say,Employed,No,Yes,Not Often,5,Less than once a week,No,3,No,No,Yes,No,Yes
18-24,High school,Employed,Yes,Yes,Never or rarely,5,Daily (7+ times per week),Yes,5,Yes,Yes,Yes,Maybe,Maybe
50-64,GED,Self-employed,Yes,Yes,Often,3,Daily (7+ times per week),No,2,Yes,Yes,Yes,Yes,Maybe
25-34,College,Employed,Yes,Yes,Not Often,5,A few times a week (3-6 times per week),Yes,4,Yes,Yes,Maybe,No,Yes
25-34,College,Unemployed,Yes,Yes,Often,5,Daily (7+ times per week),Yes,3,Maybe,Maybe,Yes,Yes,Maybe
25-34,Some college,Self-employed,Yes,Yes,Not Often,5,Daily (7+ times per week),Yes,3,Yes,Yes,Maybe,Maybe,Maybe
18-24,College,Employed,Yes,Yes,Not Often,5,A few times a week (3-6 times per week),No,3,Yes,Yes,Yes,Yes,Maybe
18-24,College,Employed,No,Yes,Not Often,3,A few times a week (3-6 times per week),No,2,Yes,Yes,Yes,Yes,No
65+,College,Retired,Yes,Yes,Not Often,4,Less than once a week,No,5,Maybe,Maybe,Maybe,Yes,No
25-34,Some college,Employed,Yes,Yes,Not Often,3,Daily (7+ times per week),Yes,4,Yes,Yes,No,Yes,Maybe
50-64,Some college,Employed,Yes,Yes,Not Often,4,Less than once a week,No,3,Maybe,Maybe,Yes,Yes,Maybe
25-34,College,Self-employed,No,Yes,Never or rarely,5,A few times a week (3-6 times per week),No,2,Yes,Yes,Maybe,Maybe,Maybe
